feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
fcf_yield,fundamental,-0.004301630959082237,-0.004184119955454503,-0.03378801696064596,0.004301630959082237,725381,1508,499,False
margin_quality_combo,composite,-0.004166913378479993,-0.0004914061748623327,-0.041682742734622365,0.004166913378479993,727329,1508,500,False
debt_to_equity,fundamental,-0.003993728160022109,-0.002311925350638281,-0.04886461728543136,0.003993728160022109,728349,1508,499,False
value_mom_pe,composite,-0.0035588143840092237,-0.00974069633791692,-0.023158571565972477,0.0035588143840092237,721510,1508,499,False
roe,fundamental,0.003494264176805792,0.00778548452813444,0.03424043047164359,0.003494264176805792,728166,1508,499,False
leverage_vol_20d,composite,0.0033166876512097905,0.0018296940077285604,0.036156691384360465,0.0033166876512097905,726882,1508,499,False
quality_value_roa_pe,composite,-0.003055449748232846,-0.009412007491066932,-0.01996326975905631,0.003055449748232846,723570,1508,499,False
pe_ratio,fundamental,0.002914437098055644,0.009354119416120887,0.019072712539983265,0.002914437098055644,725167,1508,499,False
volume_ratio_20d,technical,-0.0028491028242242106,-0.004353682963734606,-0.036177347168275,0.0028491028242242106,726213,1508,500,False
profitability_combo,composite,0.002406566662697217,0.00676347561909194,0.02209347583512772,0.002406566662697217,726621,1508,499,False
volume_ratio_5d,technical,-0.0019933993131463494,-0.0008077014194478938,-0.02666316375953736,0.0019933993131463494,727875,1508,500,False
gross_margin,fundamental,-0.0016339219377245427,3.0570461808480667e-06,-0.015480078141440022,0.0016339219377245427,728404,1508,500,False
adx_14,technical,0.0013069405917409487,0.0014913540525351352,0.011584186864057228,0.0013069405917409487,727590,1508,500,False
valuation_spread_pb_pe,composite,-0.00116581439274575,-0.006367003458684623,-0.009783092040828657,0.00116581439274575,723526,1508,499,False
roa,fundamental,0.0010793244225257895,0.006078539091297234,0.0077695255035196645,0.0010793244225257895,728166,1508,499,False
vol_change,technical,-0.00045984096274810497,-0.0024968001912245128,-0.004424699630112278,0.00045984096274810497,726171,1508,500,False
ps_ratio,fundamental,0.00044761859779674244,0.003612323050923115,0.002455466893412877,0.00044761859779674244,725167,1508,499,False
breadth_momentum,composite,,,,,0,0,0,False
credit_spread,macro,,,,,728589,1508,500,False
credit_spread_change,macro,,,,,728589,1508,500,False
dividend_yield,fundamental,,,,,0,0,0,False
eps_surprise,fundamental,,,,,0,0,0,False
ffr,macro,,,,,728589,1508,500,False
macro_risk_on,composite,,,,,728589,1508,500,False
market_ret_20d,macro,,,,,728589,1508,500,False
risk_sentiment,composite,,,,,728589,1508,500,False
sp500_breadth,macro,,,,,0,0,0,False
spread_stress,composite,,,,,728589,1508,500,False
vix,macro,,,,,728589,1508,500,False
vix_change_5d,macro,,,,,728589,1508,500,False
vix_rank,macro,,,,,728589,1508,500,False
yield_10y,macro,,,,,728589,1508,500,False
yield_spread_10y2y,macro,,,,,728589,1508,500,False
