feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed,status,retained
rsi_28,technical,-0.005850289225433,-0.0032977696902624,-0.032186687306892,0.005850289225433,727508,1508,500,False,WEAK_PASS,True
breadth_momentum,composite,,,,,0,0,0,False,EXEMPT_MACRO_DEPENDENT,True
credit_spread,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
credit_spread_change,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
dividend_yield,fundamental,,,,,0,0,0,False,DATA_GAP,True
eps_surprise,fundamental,,,,,0,0,0,False,DATA_GAP,True
ffr,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
macro_risk_on,composite,,,,,728589,1508,500,False,EXEMPT_MACRO_DEPENDENT,True
market_ret_20d,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
risk_sentiment,composite,,,,,728589,1508,500,False,EXEMPT_MACRO_DEPENDENT,True
sp500_breadth,macro,,,,,0,0,0,False,EXEMPT_MACRO,True
spread_stress,composite,,,,,728589,1508,500,False,EXEMPT_MACRO_DEPENDENT,True
vix,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
vix_change_5d,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
vix_rank,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
yield_10y,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
yield_spread_10y2y,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
fcf_yield,fundamental,-0.0043016309590822,-0.0041841199554545,-0.0337880169606459,0.0043016309590822,725381,1508,499,False,ELIMINATED,False
margin_quality_combo,composite,-0.0041669133784799,-0.0004914061748623,-0.0416827427346223,0.0041669133784799,727329,1508,500,False,ELIMINATED,False
debt_to_equity,fundamental,-0.0039937281600221,-0.0023119253506382,-0.0488646172854313,0.0039937281600221,728349,1508,499,False,ELIMINATED,False
value_mom_pe,composite,-0.0035588143840092,-0.0097406963379169,-0.0231585715659724,0.0035588143840092,721510,1508,499,False,ELIMINATED,False
roe,fundamental,0.0034942641768057,0.0077854845281344,0.0342404304716435,0.0034942641768057,728166,1508,499,False,ELIMINATED,False
leverage_vol_20d,composite,0.0033166876512097,0.0018296940077285,0.0361566913843604,0.0033166876512097,726882,1508,499,False,ELIMINATED,False
quality_value_roa_pe,composite,-0.0030554497482328,-0.0094120074910669,-0.0199632697590563,0.0030554497482328,723570,1508,499,False,ELIMINATED,False
pe_ratio,fundamental,0.0029144370980556,0.0093541194161208,0.0190727125399832,0.0029144370980556,725167,1508,499,False,ELIMINATED,False
volume_ratio_20d,technical,-0.0028491028242242,-0.0043536829637346,-0.036177347168275,0.0028491028242242,726213,1508,500,False,ELIMINATED,False
profitability_combo,composite,0.0024065666626972,0.0067634756190919,0.0220934758351277,0.0024065666626972,726621,1508,499,False,ELIMINATED,False
volume_ratio_5d,technical,-0.0019933993131463,-0.0008077014194478,-0.0266631637595373,0.0019933993131463,727875,1508,500,False,ELIMINATED,False
gross_margin,fundamental,-0.0016339219377245,3.0570461808480667e-06,-0.01548007814144,0.0016339219377245,728404,1508,500,False,ELIMINATED,False
adx_14,technical,0.0013069405917409,0.0014913540525351,0.0115841868640572,0.0013069405917409,727590,1508,500,False,ELIMINATED,False
valuation_spread_pb_pe,composite,-0.0011658143927457,-0.0063670034586846,-0.0097830920408286,0.0011658143927457,723526,1508,499,False,ELIMINATED,False
roa,fundamental,0.0010793244225257,0.0060785390912972,0.0077695255035196,0.0010793244225257,728166,1508,499,False,ELIMINATED,False
vol_change,technical,-0.0004598409627481,-0.0024968001912245,-0.0044246996301122,0.0004598409627481,726171,1508,500,False,ELIMINATED,False
ps_ratio,fundamental,0.0004476185977967,0.0036123230509231,0.0024554668934128,0.0004476185977967,725167,1508,499,False,ELIMINATED,False
